Package Name,Version Code,Number of Supported Screen Sizes,normal,normal,large,xlarge
com.amdroid.pedo.gas.flatulencia,4,4,True,True,True,True
com.whatsapp,48235,4,True,True,True,True
com.google.android.apps.magazines,133231515,3,False,True,True,True
com.socialnmobile.dictapps.notepad.color.note,190,4,True,True,True,True
com.adobe.reader,77969,4,True,True,True,True
com.avast.android.mobilesecurity,6572,4,True,True,True,True
net.zedge.android,30500,4,True,True,True,True
flipboard.app,607,4,True,True,True,True
com.kakao.talk,129,4,True,True,True,True
air.com.playtika.slotomania,1042000,4,True,True,True,True
com.google.android.apps.plus,413009748,4,True,True,True,True
brain.age.analyzer,52,4,True,True,True,True
br.com.rodrigokolb.realdrum,20,3,True,True,True,False
com.instagram.android,639564,4,True,True,True,True
com.androidwasabi.livewallpaper.waterdrop,30,4,True,True,True,True
air.au.com.metro.DumbWaysToDie,1004001,3,False,True,True,True
com.twitter.android,421,4,True,True,True,True
com.amazon.mShop.android,49,3,True,True,True,False
com.adobe.psmobile,10,3,True,True,True,False
com.a0soft.gphone.aDataOnOff,264,4,True,True,True,True
cn.wps.moffice_eng,72,4,True,True,True,True
cn.wps.moffice_eng,65,4,True,True,True,True
com.google.android.gm,4600370,4,True,True,True,True
com.shootbubble.bubbledexlue,14,4,True,True,True,True
com.androidwasabi.livewallpaper.waterdrop,28,3,True,True,True,False
cn.jingling.motu.photowonder,101,4,True,True,True,True
atticlab.bodyscanner,47,4,True,True,True,True
com.alienmanfc6.wheresmyandroid,90,4,True,True,True,True
com.rovio.angrybirds,4000,4,True,True,True,True
ch.smalltech.ledflashlight.free,160,4,True,True,True,True
com.creativemobile.DragRacing,85,4,True,True,True,True
at.nerbrothers.SuperJump,16,3,True,True,True,False
com.cleanmaster.mguard,30860498,4,True,True,True,True
com.pandora.android,5005,4,True,True,True,True
com.socialnmobile.dictapps.notepad.color.note,172,4,True,True,True,True
com.alensw.PicFolder,125,4,True,True,True,True
com.antivirus,181729,4,True,True,True,True
com.antivirus,186306,4,True,True,True,True
com.lookout,82800,4,True,True,True,True
Game.SpeedMoto,18,3,True,True,True,False
com.advancedprocessmanager,68,4,True,True,True,True
org.mozilla.firefox,2013073011,4,True,True,True,True
ch.smalltech.battery.free,131,4,True,True,True,True
Uxpp.UC,86,4,True,True,True,True
com.kiloo.subwaysurf,32,3,False,True,True,True
com.gau.go.launcherex,303,3,True,True,True,False
com.pandora.android,44,4,True,True,True,True
com.whatsapp,48348,4,True,True,True,True
com.disney.WMWLite,19,3,False,True,True,True
com.aitype.android,1994,3,True,True,True,False
jp.naver.line.android,125,4,True,True,True,True
com.google.android.apps.translate,30000023,4,True,True,True,True
com.gamestar.pianoperfect,619,4,True,True,True,True
com.a0soft.gphone.aDataOnOff,274,4,True,True,True,True
com.rovio.angrybirdsrio,1800,4,True,True,True,True
com.king.candycrushsaga,102101,4,True,True,True,True
com.mxtech.videoplayer.ad,63,4,True,True,True,True
com.facebook.katana,666397,4,True,True,True,True
com.yahoo.mobile.client.android.mail,1311682,4,True,True,True,True
com.kiloo.subwaysurf,36,3,False,True,True,True
com.surpax.ledflashlight.panel,3,4,True,True,True,True
com.advancedprocessmanager,59,4,True,True,True,True
com.samsung.swift.app.kiesair,23180,3,False,True,True,True
com.google.android.gm,986,4,True,True,True,True
com.rechild.advancedtaskkiller,10203,3,True,True,True,False
com.adobe.air,3800087,4,True,True,True,True
com.rovio.angrybirdsspace.ads,1520,4,True,True,True,True
com.google.android.talk,20217130,4,True,True,True,True
com.agilesoftresource,131,4,True,True,True,True
com.halfbrick.jetpackjoyride,1526,4,True,True,True,True
com.tencent.mm,355,3,True,True,True,False
com.cleanmaster.mguard,30700303,4,True,True,True,True
cn.jingling.motu.photowonder,106,4,True,True,True,True
com.metago.astro,525,4,True,True,True,True
com.adobe.psmobile,12,4,True,True,True,True
com.tencent.mm,351,3,True,True,True,False
com.ansangha.drdriving,24,4,True,True,True,True
com.viber.voip,47,4,True,True,True,True
com.shootbubble.bubbledexlue,12,3,True,True,True,False
com.adobe.reader,85478,4,True,True,True,True
com.google.android.videos,26091,4,True,True,True,True
com.gameloft.android.ANMP.GloftDMHM,110,3,False,True,True,True
com.rovio.angrybirds,3410,4,True,True,True,True
com.amazon.mShop.android,2801,3,True,True,True,False
com.sgiggle.production,1386724633,4,True,True,True,True
com.StudioOnMars.CSPortable,3020,4,True,True,True,True
com.alensw.PicFolder,111,4,True,True,True,True
air.au.com.metro.DumbWaysToDie,1004003,3,False,True,True,True
com.google.android.apps.docs,1222832,4,True,True,True,True
com.google.android.apps.magazines,131402010,3,False,True,True,True
com.outfit7.talkingtom2free,73,3,False,True,True,True
com.UCMobile.intl,88,3,True,True,True,False
com.sgiggle.production,68,4,True,True,True,True
com.rovio.angrybirdsstarwars.ads.iap,1300,4,True,True,True,True
net.zedge.android,40005,4,True,True,True,True
me.pou.app,157,4,True,True,True,True
Game.NDK,27,3,True,True,True,False
com.aceviral.angrygranrun,21,4,True,True,True,True
com.a0soft.gphone.app2sd,321,4,True,True,True,True
com.google.android.videos,30251,4,True,True,True,True
com.amdroid.pedo.gas.flatulencia,6,4,True,True,True,True
me.pou.app,132,4,True,True,True,True
atticlab.bodyscanner,41,4,True,True,True,True
com.king.candycrushsaga,101601,4,True,True,True,True
com.rovio.angrybirdsrio,1700,4,True,True,True,True
co.vine.android,67,4,True,True,True,True
com.google.android.googlequicksearchbox,300301240,4,True,True,True,True
com.agilesoftresource,186537,4,True,True,True,True
com.instagram.android,824805,4,True,True,True,True
com.zeptolab.ctr.ads,30,4,True,True,True,True
com.avast.android.mobilesecurity,6158,4,True,True,True,True
com.netflix.mediaclient,950,4,True,True,True,True
com.google.android.youtube,5324,4,True,True,True,True
com.google.android.apps.books,30015,4,True,True,True,True
com.twitter.android,3000517,4,True,True,True,True
ch.smalltech.battery.free,129,4,True,True,True,True
com.kakao.talk,138,4,True,True,True,True
Uxpp.UC,112,4,True,True,True,True
com.dropbox.android,231004,4,True,True,True,True
com.surpax.ledflashlight.panel,4,4,True,True,True,True
flipboard.app,2025,4,True,True,True,True
com.google.android.apps.translate,30000028,4,True,True,True,True
com.roidapp.photogrid,125,4,True,True,True,True
com.StudioOnMars.CSPortable,3309,4,True,True,True,True
com.amazon.mp3,2080310,3,False,True,True,True
com.jiubang.goscreenlock,325,3,True,True,True,False
com.facebook.katana,258882,4,True,True,True,True
com.PinballGame,9,4,True,True,True,True
com.outfit7.talkingtom,63,3,False,True,True,True
com.aceviral.angrygranrun,24,4,True,True,True,True
com.google.android.apps.books,20921,4,True,True,True,True
brain.age.analyzer,53,4,True,True,True,True
com.gamestar.pianoperfect,614,4,True,True,True,True
com.sec.spp.push,36,4,True,True,True,True
com.netflix.mediaclient,1042,4,True,True,True,True
com.imangi.templerun2,14,4,True,True,True,True
co.vine.android,1400110,4,True,True,True,True
com.google.android.apps.maps,704001103,4,True,True,True,True
vStudio.Android.Camera360,434,4,True,True,True,True
com.google.android.apps.docs,1246114,4,True,True,True,True
jp.naver.line.android,135,4,True,True,True,True
com.outfit7.talkingtom2free,32,1,False,True,False,False
com.RunnerGames.game.JewelsDeluxe_AD,25,3,True,True,True,False
com.sec.chaton,302115000,4,True,True,True,True
com.picsart.studio,79,4,True,True,True,True
com.gameloft.android.ANMP.GloftDMHM,15022,3,False,True,True,True
com.disney.WMWLite,17,3,False,True,True,True
com.androidwasabi.livewallpaper.dandelion,42,3,True,True,True,False
com.roidapp.photogrid,101,4,True,True,True,True
com.lookout,81910,4,True,True,True,True
com.ebay.mobile,46,4,True,True,True,True
com.facebook.orca,906963,4,True,True,True,True
com.bestcoolfungames.antsmasher,7007,3,True,True,True,False
com.zeptolab.ctr.ads,22,4,True,True,True,True
com.RunnerGames.game.JewelsDeluxe_AD,24,3,True,True,True,False
com.google.android.music,1316,4,True,True,True,True
com.ansangha.drdriving,12,4,True,True,True,True
com.outfit7.talkingtom,52,1,False,True,False,False
com.google.earth,13140170,3,False,True,True,True
com.facebook.orca,295612,4,True,True,True,True
com.amazon.mp3,3002410,3,False,True,True,True
com.google.android.apps.plus,410508092,4,True,True,True,True
com.google.android.music,1109,4,True,True,True,True
ch.smalltech.ledflashlight.free,156,4,True,True,True,True
air.com.playtika.slotomania,1039000,4,True,True,True,True
com.viber.voip,37,4,True,True,True,True
com.adobe.air,3900138,4,True,True,True,True
com.imangi.templerun2,12,4,True,True,True,True
com.jiubang.goscreenlock,337,3,True,True,True,False
com.UCMobile.intl,89,3,True,True,True,False
com.accuweather.android,45,4,True,True,True,True
tunein.player,116,4,True,True,True,True
tunein.player,68,4,True,True,True,True
goldenshorestechnologies.brightestflashlight.free,27,3,True,True,True,False
com.rovio.angrybirdsstarwars.ads.iap,1410,4,True,True,True,True
org.mozilla.firefox,2013120507,4,True,True,True,True
com.dropbox.android,231104,4,True,True,True,True
com.halfbrick.jetpackjoyride,1600,4,True,True,True,True
com.sec.spp.push,46,4,True,True,True,True
com.google.android.youtube,5021,4,True,True,True,True
com.android.chrome,1650059,4,True,True,True,True
vStudio.Android.Camera360,422,4,True,True,True,True
com.creativemobile.DragRacing,90,4,True,True,True,True
com.rovio.angrybirdsspace.ads,1650,4,True,True,True,True
com.yahoo.mobile.client.android.mail,1310622,4,True,True,True,True
goldenshorestechnologies.brightestflashlight.free,26,3,True,True,True,False
com.google.android.talk,757001,4,True,True,True,True
com.mxtech.videoplayer.ad,65,4,True,True,True,True
com.google.android.apps.maps,701000803,4,True,True,True,True
com.melodis.midomiMusicIdentifier.freemium,10591,4,True,True,True,True
br.com.rodrigokolb.realdrum,23,3,True,True,True,False
com.alienmanfc6.wheresmyandroid,92,4,True,True,True,True
com.skype.raider,67405411,4,True,True,True,True
at.nerbrothers.SuperJump,11,3,True,True,True,False
com.picsart.studio,68,4,True,True,True,True
com.rechild.advancedtaskkiller,103,3,True,True,True,False
com.androidwasabi.livewallpaper.dandelion,44,4,True,True,True,True
com.ebay.mobile,43,4,True,True,True,True
com.google.earth,13294050,3,False,True,True,True
com.metago.astro,564,4,True,True,True,True
com.PinballGame,8,3,True,True,True,False
com.jb.gosms,170,3,True,True,True,False
com.devuni.flashlight,141,4,True,True,True,True
com.devuni.flashlight,139,4,True,True,True,True
com.skype.raider,67130946,4,True,True,True,True
com.aitype.android,1999,3,True,True,True,False
com.android.chrome,1547059,4,True,True,True,True
com.bestcoolfungames.antsmasher,7002,3,True,True,True,False
com.a0soft.gphone.app2sd,318,4,True,True,True,True
com.accuweather.android,41,4,True,True,True,True
com.gau.go.launcherex,267,3,True,True,True,False
com.google.android.googlequicksearchbox,300301080,4,True,True,True,True
com.samsung.swift.app.kiesair,23132,3,False,True,True,True
com.sec.chaton,207103000,4,True,True,True,True
com.jb.gosms,154,3,True,True,True,False
com.melodis.midomiMusicIdentifier.freemium,10560,4,True,True,True,True
